DateKey,GregorianDate,GregorianYearInt,GregorianMonthNo,GregorianDayInMonth,GregorianMonthDayInt,GregorianDayOfWeekInt,GregorianMonthName,GregorianStr,GregorianYearMonthSort,GregorianYearMonthStr,GregorianDayOfWeekName,GrgorianWeekOfYearName,GregorianWeekOfYearNo,PersianInt,PersianYearInt,PersianMonthNo,PersianDayInMonth,PersianMonthDayInt,PersianDayOfWeekInt,PersianMonthName,PersianStr,PersianYearMonthInt,PersianYearMonthStr,PersianDayOfWeekName,PersianWeekOfYearName,PersianWeekOfYearNo,PersianFullName,SeasonCode,SeasonName,IsGregorianLeap,IsPersianLeap,PersianYearMonthSort
20110321,2011-03-21 00:00:00.000,2011,3,21,321,1,"March","3/21/2011",201103,"3/1/2011","Monday","Week 13",13,13900101,1390,1,1,101,2,"فروردین","1390/01/01",13900101,"1390/01","دوشنبه","هفته 1",1,"دوشنبه 1 فروردین 1390",1,"بهار",0,0,139001
20110322,2011-03-22 00:00:00.000,2011,3,22,322,2,"March","3/22/2011",201103,"3/1/2011","Tuesday","Week 13",13,13900102,1390,1,2,102,3,"فروردین","1390/01/02",13900102,"1390/01","سه شنبه","هفته 1",1,"سه شنبه 2 فروردین 1390",1,"بهار",0,0,139001
20110323,2011-03-23 00:00:00.000,2011,3,23,323,3,"March","3/23/2011",201103,"3/1/2011","Wednesday","Week 13",13,13900103,1390,1,3,103,4,"فروردین","1390/01/03",13900103,"1390/01","چهارشنبه","هفته 1",1,"چهارشنبه 3 فروردین 1390",1,"بهار",0,0,139001
20110324,2011-03-24 00:00:00.000,2011,3,24,324,4,"March","3/24/2011",201103,"3/1/2011","Thursday","Week 13",13,13900104,1390,1,4,104,5,"فروردین","1390/01/04",13900104,"1390/01","پنج شنبه","هفته 1",1,"پنج شنبه 4 فروردین 1390",1,"بهار",0,0,139001
20110325,2011-03-25 00:00:00.000,2011,3,25,325,5,"March","3/25/2011",201103,"3/1/2011","Friday","Week 13",13,13900105,1390,1,5,105,6,"فروردین","1390/01/05",13900105,"1390/01","جمعه","هفته 1",1,"جمعه 5 فروردین 1390",1,"بهار",0,0,139001
20110326,2011-03-26 00:00:00.000,2011,3,26,326,6,"March","3/26/2011",201103,"3/1/2011","Saturday","Week 13",13,13900106,1390,1,6,106,0,"فروردین","1390/01/06",13900106,"1390/01","شنبه","هفته 2",2,"شنبه 6 فروردین 1390",1,"بهار",0,0,139001
20110327,2011-03-27 00:00:00.000,2011,3,27,327,0,"March","3/27/2011",201103,"3/1/2011","Sunday","Week 14",14,13900107,1390,1,7,107,1,"فروردین","1390/01/07",13900107,"1390/01","یکشنبه","هفته 2",2,"یکشنبه 7 فروردین 1390",1,"بهار",0,0,139001
20110328,2011-03-28 00:00:00.000,2011,3,28,328,1,"March","3/28/2011",201103,"3/1/2011","Monday","Week 14",14,13900108,1390,1,8,108,2,"فروردین","1390/01/08",13900108,"1390/01","دوشنبه","هفته 2",2,"دوشنبه 8 فروردین 1390",1,"بهار",0,0,139001
20110329,2011-03-29 00:00:00.000,2011,3,29,329,2,"March","3/29/2011",201103,"3/1/2011","Tuesday","Week 14",14,13900109,1390,1,9,109,3,"فروردین","1390/01/09",13900109,"1390/01","سه شنبه","هفته 2",2,"سه شنبه 9 فروردین 1390",1,"بهار",0,0,139001
20110330,2011-03-30 00:00:00.000,2011,3,30,330,3,"March","3/30/2011",201103,"3/1/2011","Wednesday","Week 14",14,13900110,1390,1,10,110,4,"فروردین","1390/01/10",13900110,"1390/01","چهارشنبه","هفته 2",2,"چهارشنبه 10 فروردین 1390",1,"بهار",0,0,139001
20110331,2011-03-31 00:00:00.000,2011,3,31,331,4,"March","3/31/2011",201103,"3/1/2011","Thursday","Week 14",14,13900111,1390,1,11,111,5,"فروردین","1390/01/11",13900111,"1390/01","پنج شنبه","هفته 2",2,"پنج شنبه 11 فروردین 1390",1,"بهار",0,0,139001
20110401,2011-04-01 00:00:00.000,2011,4,1,401,5,"April","4/1/2011",201104,"4/1/2011","Friday","Week 14",14,13900112,1390,1,12,112,6,"فروردین","1390/01/12",13900112,"1390/01","جمعه","هفته 2",2,"جمعه 12 فروردین 1390",1,"بهار",0,0,139001
20110402,2011-04-02 00:00:00.000,2011,4,2,402,6,"April","4/2/2011",201104,"4/1/2011","Saturday","Week 14",14,13900113,1390,1,13,113,0,"فروردین","1390/01/13",13900113,"1390/01","شنبه","هفته 3",3,"شنبه 13 فروردین 1390",1,"بهار",0,0,139001
20110403,2011-04-03 00:00:00.000,2011,4,3,403,0,"April","4/3/2011",201104,"4/1/2011","Sunday","Week 15",15,13900114,1390,1,14,114,1,"فروردین","1390/01/14",13900114,"1390/01","یکشنبه","هفته 3",3,"یکشنبه 14 فروردین 1390",1,"بهار",0,0,139001
20110404,2011-04-04 00:00:00.000,2011,4,4,404,1,"April","4/4/2011",201104,"4/1/2011","Monday","Week 15",15,13900115,1390,1,15,115,2,"فروردین","1390/01/15",13900115,"1390/01","دوشنبه","هفته 3",3,"دوشنبه 15 فروردین 1390",1,"بهار",0,0,139001
20110405,2011-04-05 00:00:00.000,2011,4,5,405,2,"April","4/5/2011",201104,"4/1/2011","Tuesday","Week 15",15,13900116,1390,1,16,116,3,"فروردین","1390/01/16",13900116,"1390/01","سه شنبه","هفته 3",3,"سه شنبه 16 فروردین 1390",1,"بهار",0,0,139001
20110406,2011-04-06 00:00:00.000,2011,4,6,406,3,"April","4/6/2011",201104,"4/1/2011","Wednesday","Week 15",15,13900117,1390,1,17,117,4,"فروردین","1390/01/17",13900117,"1390/01","چهارشنبه","هفته 3",3,"چهارشنبه 17 فروردین 1390",1,"بهار",0,0,139001
20110407,2011-04-07 00:00:00.000,2011,4,7,407,4,"April","4/7/2011",201104,"4/1/2011","Thursday","Week 15",15,13900118,1390,1,18,118,5,"فروردین","1390/01/18",13900118,"1390/01","پنج شنبه","هفته 3",3,"پنج شنبه 18 فروردین 1390",1,"بهار",0,0,139001
20110408,2011-04-08 00:00:00.000,2011,4,8,408,5,"April","4/8/2011",201104,"4/1/2011","Friday","Week 15",15,13900119,1390,1,19,119,6,"فروردین","1390/01/19",13900119,"1390/01","جمعه","هفته 3",3,"جمعه 19 فروردین 1390",1,"بهار",0,0,139001
20110409,2011-04-09 00:00:00.000,2011,4,9,409,6,"April","4/9/2011",201104,"4/1/2011","Saturday","Week 15",15,13900120,1390,1,20,120,0,"فروردین","1390/01/20",13900120,"1390/01","شنبه","هفته 4",4,"شنبه 20 فروردین 1390",1,"بهار",0,0,139001
20110410,2011-04-10 00:00:00.000,2011,4,10,410,0,"April","4/10/2011",201104,"4/1/2011","Sunday","Week 16",16,13900121,1390,1,21,121,1,"فروردین","1390/01/21",13900121,"1390/01","یکشنبه","هفته 4",4,"یکشنبه 21 فروردین 1390",1,"بهار",0,0,139001
20110411,2011-04-11 00:00:00.000,2011,4,11,411,1,"April","4/11/2011",201104,"4/1/2011","Monday","Week 16",16,13900122,1390,1,22,122,2,"فروردین","1390/01/22",13900122,"1390/01","دوشنبه","هفته 4",4,"دوشنبه 22 فروردین 1390",1,"بهار",0,0,139001
20110412,2011-04-12 00:00:00.000,2011,4,12,412,2,"April","4/12/2011",201104,"4/1/2011","Tuesday","Week 16",16,13900123,1390,1,23,123,3,"فروردین","1390/01/23",13900123,"1390/01","سه شنبه","هفته 4",4,"سه شنبه 23 فروردین 1390",1,"بهار",0,0,139001
20110413,2011-04-13 00:00:00.000,2011,4,13,413,3,"April","4/13/2011",201104,"4/1/2011","Wednesday","Week 16",16,13900124,1390,1,24,124,4,"فروردین","1390/01/24",13900124,"1390/01","چهارشنبه","هفته 4",4,"چهارشنبه 24 فروردین 1390",1,"بهار",0,0,139001
20110414,2011-04-14 00:00:00.000,2011,4,14,414,4,"April","4/14/2011",201104,"4/1/2011","Thursday","Week 16",16,13900125,1390,1,25,125,5,"فروردین","1390/01/25",13900125,"1390/01","پنج شنبه","هفته 4",4,"پنج شنبه 25 فروردین 1390",1,"بهار",0,0,139001
20110415,2011-04-15 00:00:00.000,2011,4,15,415,5,"April","4/15/2011",201104,"4/1/2011","Friday","Week 16",16,13900126,1390,1,26,126,6,"فروردین","1390/01/26",13900126,"1390/01","جمعه","هفته 4",4,"جمعه 26 فروردین 1390",1,"بهار",0,0,139001
20110416,2011-04-16 00:00:00.000,2011,4,16,416,6,"April","4/16/2011",201104,"4/1/2011","Saturday","Week 16",16,13900127,1390,1,27,127,0,"فروردین","1390/01/27",13900127,"1390/01","شنبه","هفته 5",5,"شنبه 27 فروردین 1390",1,"بهار",0,0,139001
20110417,2011-04-17 00:00:00.000,2011,4,17,417,0,"April","4/17/2011",201104,"4/1/2011","Sunday","Week 17",17,13900128,1390,1,28,128,1,"فروردین","1390/01/28",13900128,"1390/01","یکشنبه","هفته 5",5,"یکشنبه 28 فروردین 1390",1,"بهار",0,0,139001
20110418,2011-04-18 00:00:00.000,2011,4,18,418,1,"April","4/18/2011",201104,"4/1/2011","Monday","Week 17",17,13900129,1390,1,29,129,2,"فروردین","1390/01/29",13900129,"1390/01","دوشنبه","هفته 5",5,"دوشنبه 29 فروردین 1390",1,"بهار",0,0,139001
20110419,2011-04-19 00:00:00.000,2011,4,19,419,2,"April","4/19/2011",201104,"4/1/2011","Tuesday","Week 17",17,13900130,1390,1,30,130,3,"فروردین","1390/01/30",13900130,"1390/01","سه شنبه","هفته 5",5,"سه شنبه 30 فروردین 1390",1,"بهار",0,0,139001
20110420,2011-04-20 00:00:00.000,2011,4,20,420,3,"April","4/20/2011",201104,"4/1/2011","Wednesday","Week 17",17,13900131,1390,1,31,131,4,"فروردین","1390/01/31",13900131,"1390/01","چهارشنبه","هفته 5",5,"چهارشنبه 31 فروردین 1390",1,"بهار",0,0,139001
20110421,2011-04-21 00:00:00.000,2011,4,21,421,4,"April","4/21/2011",201104,"4/1/2011","Thursday","Week 17",17,13900201,1390,2,1,201,5,"اردیبهشت","1390/02/01",13900201,"1390/02","پنج شنبه","هفته 5",5,"پنج شنبه 1 اردیبهشت 1390",1,"بهار",0,0,139002
20110422,2011-04-22 00:00:00.000,2011,4,22,422,5,"April","4/22/2011",201104,"4/1/2011","Friday","Week 17",17,13900202,1390,2,2,202,6,"اردیبهشت","1390/02/02",13900202,"1390/02","جمعه","هفته 5",5,"جمعه 2 اردیبهشت 1390",1,"بهار",0,0,139002
20110423,2011-04-23 00:00:00.000,2011,4,23,423,6,"April","4/23/2011",201104,"4/1/2011","Saturday","Week 17",17,13900203,1390,2,3,203,0,"اردیبهشت","1390/02/03",13900203,"1390/02","شنبه","هفته 6",6,"شنبه 3 اردیبهشت 1390",1,"بهار",0,0,139002
20110424,2011-04-24 00:00:00.000,2011,4,24,424,0,"April","4/24/2011",201104,"4/1/2011","Sunday","Week 18",18,13900204,1390,2,4,204,1,"اردیبهشت","1390/02/04",13900204,"1390/02","یکشنبه","هفته 6",6,"یکشنبه 4 اردیبهشت 1390",1,"بهار",0,0,139002
20110425,2011-04-25 00:00:00.000,2011,4,25,425,1,"April","4/25/2011",201104,"4/1/2011","Monday","Week 18",18,13900205,1390,2,5,205,2,"اردیبهشت","1390/02/05",13900205,"1390/02","دوشنبه","هفته 6",6,"دوشنبه 5 اردیبهشت 1390",1,"بهار",0,0,139002
20110426,2011-04-26 00:00:00.000,2011,4,26,426,2,"April","4/26/2011",201104,"4/1/2011","Tuesday","Week 18",18,13900206,1390,2,6,206,3,"اردیبهشت","1390/02/06",13900206,"1390/02","سه شنبه","هفته 6",6,"سه شنبه 6 اردیبهشت 1390",1,"بهار",0,0,139002
20110427,2011-04-27 00:00:00.000,2011,4,27,427,3,"April","4/27/2011",201104,"4/1/2011","Wednesday","Week 18",18,13900207,1390,2,7,207,4,"اردیبهشت","1390/02/07",13900207,"1390/02","چهارشنبه","هفته 6",6,"چهارشنبه 7 اردیبهشت 1390",1,"بهار",0,0,139002
20110428,2011-04-28 00:00:00.000,2011,4,28,428,4,"April","4/28/2011",201104,"4/1/2011","Thursday","Week 18",18,13900208,1390,2,8,208,5,"اردیبهشت","1390/02/08",13900208,"1390/02","پنج شنبه","هفته 6",6,"پنج شنبه 8 اردیبهشت 1390",1,"بهار",0,0,139002
20110429,2011-04-29 00:00:00.000,2011,4,29,429,5,"April","4/29/2011",201104,"4/1/2011","Friday","Week 18",18,13900209,1390,2,9,209,6,"اردیبهشت","1390/02/09",13900209,"1390/02","جمعه","هفته 6",6,"جمعه 9 اردیبهشت 1390",1,"بهار",0,0,139002
20110430,2011-04-30 00:00:00.000,2011,4,30,430,6,"April","4/30/2011",201104,"4/1/2011","Saturday","Week 18",18,13900210,1390,2,10,210,0,"اردیبهشت","1390/02/10",13900210,"1390/02","شنبه","هفته 7",7,"شنبه 10 اردیبهشت 1390",1,"بهار",0,0,139002
20110501,2011-05-01 00:00:00.000,2011,5,1,501,0,"May","5/1/2011",201105,"5/1/2011","Sunday","Week 19",19,13900211,1390,2,11,211,1,"اردیبهشت","1390/02/11",13900211,"1390/02","یکشنبه","هفته 7",7,"یکشنبه 11 اردیبهشت 1390",1,"بهار",0,0,139002
20110502,2011-05-02 00:00:00.000,2011,5,2,502,1,"May","5/2/2011",201105,"5/1/2011","Monday","Week 19",19,13900212,1390,2,12,212,2,"اردیبهشت","1390/02/12",13900212,"1390/02","دوشنبه","هفته 7",7,"دوشنبه 12 اردیبهشت 1390",1,"بهار",0,0,139002
20110503,2011-05-03 00:00:00.000,2011,5,3,503,2,"May","5/3/2011",201105,"5/1/2011","Tuesday","Week 19",19,13900213,1390,2,13,213,3,"اردیبهشت","1390/02/13",13900213,"1390/02","سه شنبه","هفته 7",7,"سه شنبه 13 اردیبهشت 1390",1,"بهار",0,0,139002
20110504,2011-05-04 00:00:00.000,2011,5,4,504,3,"May","5/4/2011",201105,"5/1/2011","Wednesday","Week 19",19,13900214,1390,2,14,214,4,"اردیبهشت","1390/02/14",13900214,"1390/02","چهارشنبه","هفته 7",7,"چهارشنبه 14 اردیبهشت 1390",1,"بهار",0,0,139002
20110505,2011-05-05 00:00:00.000,2011,5,5,505,4,"May","5/5/2011",201105,"5/1/2011","Thursday","Week 19",19,13900215,1390,2,15,215,5,"اردیبهشت","1390/02/15",13900215,"1390/02","پنج شنبه","هفته 7",7,"پنج شنبه 15 اردیبهشت 1390",1,"بهار",0,0,139002
20110506,2011-05-06 00:00:00.000,2011,5,6,506,5,"May","5/6/2011",201105,"5/1/2011","Friday","Week 19",19,13900216,1390,2,16,216,6,"اردیبهشت","1390/02/16",13900216,"1390/02","جمعه","هفته 7",7,"جمعه 16 اردیبهشت 1390",1,"بهار",0,0,139002
20110507,2011-05-07 00:00:00.000,2011,5,7,507,6,"May","5/7/2011",201105,"5/1/2011","Saturday","Week 19",19,13900217,1390,2,17,217,0,"اردیبهشت","1390/02/17",13900217,"1390/02","شنبه","هفته 8",8,"شنبه 17 اردیبهشت 1390",1,"بهار",0,0,139002
20110508,2011-05-08 00:00:00.000,2011,5,8,508,0,"May","5/8/2011",201105,"5/1/2011","Sunday","Week 20",20,13900218,1390,2,18,218,1,"اردیبهشت","1390/02/18",13900218,"1390/02","یکشنبه","هفته 8",8,"یکشنبه 18 اردیبهشت 1390",1,"بهار",0,0,139002
20110509,2011-05-09 00:00:00.000,2011,5,9,509,1,"May","5/9/2011",201105,"5/1/2011","Monday","Week 20",20,13900219,1390,2,19,219,2,"اردیبهشت","1390/02/19",13900219,"1390/02","دوشنبه","هفته 8",8,"دوشنبه 19 اردیبهشت 1390",1,"بهار",0,0,139002
20110510,2011-05-10 00:00:00.000,2011,5,10,510,2,"May","5/10/2011",201105,"5/1/2011","Tuesday","Week 20",20,13900220,1390,2,20,220,3,"اردیبهشت","1390/02/20",13900220,"1390/02","سه شنبه","هفته 8",8,"سه شنبه 20 اردیبهشت 1390",1,"بهار",0,0,139002
20110511,2011-05-11 00:00:00.000,2011,5,11,511,3,"May","5/11/2011",201105,"5/1/2011","Wednesday","Week 20",20,13900221,1390,2,21,221,4,"اردیبهشت","1390/02/21",13900221,"1390/02","چهارشنبه","هفته 8",8,"چهارشنبه 21 اردیبهشت 1390",1,"بهار",0,0,139002
20110512,2011-05-12 00:00:00.000,2011,5,12,512,4,"May","5/12/2011",201105,"5/1/2011","Thursday","Week 20",20,13900222,1390,2,22,222,5,"اردیبهشت","1390/02/22",13900222,"1390/02","پنج شنبه","هفته 8",8,"پنج شنبه 22 اردیبهشت 1390",1,"بهار",0,0,139002
20110513,2011-05-13 00:00:00.000,2011,5,13,513,5,"May","5/13/2011",201105,"5/1/2011","Friday","Week 20",20,13900223,1390,2,23,223,6,"اردیبهشت","1390/02/23",13900223,"1390/02","جمعه","هفته 8",8,"جمعه 23 اردیبهشت 1390",1,"بهار",0,0,139002
20110514,2011-05-14 00:00:00.000,2011,5,14,514,6,"May","5/14/2011",201105,"5/1/2011","Saturday","Week 20",20,13900224,1390,2,24,224,0,"اردیبهشت","1390/02/24",13900224,"1390/02","شنبه","هفته 9",9,"شنبه 24 اردیبهشت 1390",1,"بهار",0,0,139002
20110515,2011-05-15 00:00:00.000,2011,5,15,515,0,"May","5/15/2011",201105,"5/1/2011","Sunday","Week 21",21,13900225,1390,2,25,225,1,"اردیبهشت","1390/02/25",13900225,"1390/02","یکشنبه","هفته 9",9,"یکشنبه 25 اردیبهشت 1390",1,"بهار",0,0,139002
20110516,2011-05-16 00:00:00.000,2011,5,16,516,1,"May","5/16/2011",201105,"5/1/2011","Monday","Week 21",21,13900226,1390,2,26,226,2,"اردیبهشت","1390/02/26",13900226,"1390/02","دوشنبه","هفته 9",9,"دوشنبه 26 اردیبهشت 1390",1,"بهار",0,0,139002
20110517,2011-05-17 00:00:00.000,2011,5,17,517,2,"May","5/17/2011",201105,"5/1/2011","Tuesday","Week 21",21,13900227,1390,2,27,227,3,"اردیبهشت","1390/02/27",13900227,"1390/02","سه شنبه","هفته 9",9,"سه شنبه 27 اردیبهشت 1390",1,"بهار",0,0,139002
20110518,2011-05-18 00:00:00.000,2011,5,18,518,3,"May","5/18/2011",201105,"5/1/2011","Wednesday","Week 21",21,13900228,1390,2,28,228,4,"اردیبهشت","1390/02/28",13900228,"1390/02","چهارشنبه","هفته 9",9,"چهارشنبه 28 اردیبهشت 1390",1,"بهار",0,0,139002
20110519,2011-05-19 00:00:00.000,2011,5,19,519,4,"May","5/19/2011",201105,"5/1/2011","Thursday","Week 21",21,13900229,1390,2,29,229,5,"اردیبهشت","1390/02/29",13900229,"1390/02","پنج شنبه","هفته 9",9,"پنج شنبه 29 اردیبهشت 1390",1,"بهار",0,0,139002
20110520,2011-05-20 00:00:00.000,2011,5,20,520,5,"May","5/20/2011",201105,"5/1/2011","Friday","Week 21",21,13900230,1390,2,30,230,6,"اردیبهشت","1390/02/30",13900230,"1390/02","جمعه","هفته 9",9,"جمعه 30 اردیبهشت 1390",1,"بهار",0,0,139002
20110521,2011-05-21 00:00:00.000,2011,5,21,521,6,"May","5/21/2011",201105,"5/1/2011","Saturday","Week 21",21,13900231,1390,2,31,231,0,"اردیبهشت","1390/02/31",13900231,"1390/02","شنبه","هفته 10",10,"شنبه 31 اردیبهشت 1390",1,"بهار",0,0,139002
20110522,2011-05-22 00:00:00.000,2011,5,22,522,0,"May","5/22/2011",201105,"5/1/2011","Sunday","Week 22",22,13900301,1390,3,1,301,1,"خرداد","1390/03/01",13900301,"1390/03","یکشنبه","هفته 10",10,"یکشنبه 1 خرداد 1390",1,"بهار",0,0,139003
20110523,2011-05-23 00:00:00.000,2011,5,23,523,1,"May","5/23/2011",201105,"5/1/2011","Monday","Week 22",22,13900302,1390,3,2,302,2,"خرداد","1390/03/02",13900302,"1390/03","دوشنبه","هفته 10",10,"دوشنبه 2 خرداد 1390",1,"بهار",0,0,139003
20110524,2011-05-24 00:00:00.000,2011,5,24,524,2,"May","5/24/2011",201105,"5/1/2011","Tuesday","Week 22",22,13900303,1390,3,3,303,3,"خرداد","1390/03/03",13900303,"1390/03","سه شنبه","هفته 10",10,"سه شنبه 3 خرداد 1390",1,"بهار",0,0,139003
20110525,2011-05-25 00:00:00.000,2011,5,25,525,3,"May","5/25/2011",201105,"5/1/2011","Wednesday","Week 22",22,13900304,1390,3,4,304,4,"خرداد","1390/03/04",13900304,"1390/03","چهارشنبه","هفته 10",10,"چهارشنبه 4 خرداد 1390",1,"بهار",0,0,139003
20110526,2011-05-26 00:00:00.000,2011,5,26,526,4,"May","5/26/2011",201105,"5/1/2011","Thursday","Week 22",22,13900305,1390,3,5,305,5,"خرداد","1390/03/05",13900305,"1390/03","پنج شنبه","هفته 10",10,"پنج شنبه 5 خرداد 1390",1,"بهار",0,0,139003
20110527,2011-05-27 00:00:00.000,2011,5,27,527,5,"May","5/27/2011",201105,"5/1/2011","Friday","Week 22",22,13900306,1390,3,6,306,6,"خرداد","1390/03/06",13900306,"1390/03","جمعه","هفته 10",10,"جمعه 6 خرداد 1390",1,"بهار",0,0,139003
20110528,2011-05-28 00:00:00.000,2011,5,28,528,6,"May","5/28/2011",201105,"5/1/2011","Saturday","Week 22",22,13900307,1390,3,7,307,0,"خرداد","1390/03/07",13900307,"1390/03","شنبه","هفته 11",11,"شنبه 7 خرداد 1390",1,"بهار",0,0,139003
20110529,2011-05-29 00:00:00.000,2011,5,29,529,0,"May","5/29/2011",201105,"5/1/2011","Sunday","Week 23",23,13900308,1390,3,8,308,1,"خرداد","1390/03/08",13900308,"1390/03","یکشنبه","هفته 11",11,"یکشنبه 8 خرداد 1390",1,"بهار",0,0,139003
20110530,2011-05-30 00:00:00.000,2011,5,30,530,1,"May","5/30/2011",201105,"5/1/2011","Monday","Week 23",23,13900309,1390,3,9,309,2,"خرداد","1390/03/09",13900309,"1390/03","دوشنبه","هفته 11",11,"دوشنبه 9 خرداد 1390",1,"بهار",0,0,139003
20110531,2011-05-31 00:00:00.000,2011,5,31,531,2,"May","5/31/2011",201105,"5/1/2011","Tuesday","Week 23",23,13900310,1390,3,10,310,3,"خرداد","1390/03/10",13900310,"1390/03","سه شنبه","هفته 11",11,"سه شنبه 10 خرداد 1390",1,"بهار",0,0,139003
20110601,2011-06-01 00:00:00.000,2011,6,1,601,3,"June","6/1/2011",201106,"6/1/2011","Wednesday","Week 23",23,13900311,1390,3,11,311,4,"خرداد","1390/03/11",13900311,"1390/03","چهارشنبه","هفته 11",11,"چهارشنبه 11 خرداد 1390",1,"بهار",0,0,139003
20110602,2011-06-02 00:00:00.000,2011,6,2,602,4,"June","6/2/2011",201106,"6/1/2011","Thursday","Week 23",23,13900312,1390,3,12,312,5,"خرداد","1390/03/12",13900312,"1390/03","پنج شنبه","هفته 11",11,"پنج شنبه 12 خرداد 1390",1,"بهار",0,0,139003
20110603,2011-06-03 00:00:00.000,2011,6,3,603,5,"June","6/3/2011",201106,"6/1/2011","Friday","Week 23",23,13900313,1390,3,13,313,6,"خرداد","1390/03/13",13900313,"1390/03","جمعه","هفته 11",11,"جمعه 13 خرداد 1390",1,"بهار",0,0,139003
20110604,2011-06-04 00:00:00.000,2011,6,4,604,6,"June","6/4/2011",201106,"6/1/2011","Saturday","Week 23",23,13900314,1390,3,14,314,0,"خرداد","1390/03/14",13900314,"1390/03","شنبه","هفته 12",12,"شنبه 14 خرداد 1390",1,"بهار",0,0,139003
20110605,2011-06-05 00:00:00.000,2011,6,5,605,0,"June","6/5/2011",201106,"6/1/2011","Sunday","Week 24",24,13900315,1390,3,15,315,1,"خرداد","1390/03/15",13900315,"1390/03","یکشنبه","هفته 12",12,"یکشنبه 15 خرداد 1390",1,"بهار",0,0,139003
20110606,2011-06-06 00:00:00.000,2011,6,6,606,1,"June","6/6/2011",201106,"6/1/2011","Monday","Week 24",24,13900316,1390,3,16,316,2,"خرداد","1390/03/16",13900316,"1390/03","دوشنبه","هفته 12",12,"دوشنبه 16 خرداد 1390",1,"بهار",0,0,139003
20110607,2011-06-07 00:00:00.000,2011,6,7,607,2,"June","6/7/2011",201106,"6/1/2011","Tuesday","Week 24",24,13900317,1390,3,17,317,3,"خرداد","1390/03/17",13900317,"1390/03","سه شنبه","هفته 12",12,"سه شنبه 17 خرداد 1390",1,"بهار",0,0,139003
20110608,2011-06-08 00:00:00.000,2011,6,8,608,3,"June","6/8/2011",201106,"6/1/2011","Wednesday","Week 24",24,13900318,1390,3,18,318,4,"خرداد","1390/03/18",13900318,"1390/03","چهارشنبه","هفته 12",12,"چهارشنبه 18 خرداد 1390",1,"بهار",0,0,139003
20110609,2011-06-09 00:00:00.000,2011,6,9,609,4,"June","6/9/2011",201106,"6/1/2011","Thursday","Week 24",24,13900319,1390,3,19,319,5,"خرداد","1390/03/19",13900319,"1390/03","پنج شنبه","هفته 12",12,"پنج شنبه 19 خرداد 1390",1,"بهار",0,0,139003
20110610,2011-06-10 00:00:00.000,2011,6,10,610,5,"June","6/10/2011",201106,"6/1/2011","Friday","Week 24",24,13900320,1390,3,20,320,6,"خرداد","1390/03/20",13900320,"1390/03","جمعه","هفته 12",12,"جمعه 20 خرداد 1390",1,"بهار",0,0,139003
20110611,2011-06-11 00:00:00.000,2011,6,11,611,6,"June","6/11/2011",201106,"6/1/2011","Saturday","Week 24",24,13900321,1390,3,21,321,0,"خرداد","1390/03/21",13900321,"1390/03","شنبه","هفته 13",13,"شنبه 21 خرداد 1390",1,"بهار",0,0,139003
20110612,2011-06-12 00:00:00.000,2011,6,12,612,0,"June","6/12/2011",201106,"6/1/2011","Sunday","Week 25",25,13900322,1390,3,22,322,1,"خرداد","1390/03/22",13900322,"1390/03","یکشنبه","هفته 13",13,"یکشنبه 22 خرداد 1390",1,"بهار",0,0,139003
20110613,2011-06-13 00:00:00.000,2011,6,13,613,1,"June","6/13/2011",201106,"6/1/2011","Monday","Week 25",25,13900323,1390,3,23,323,2,"خرداد","1390/03/23",13900323,"1390/03","دوشنبه","هفته 13",13,"دوشنبه 23 خرداد 1390",1,"بهار",0,0,139003
20110614,2011-06-14 00:00:00.000,2011,6,14,614,2,"June","6/14/2011",201106,"6/1/2011","Tuesday","Week 25",25,13900324,1390,3,24,324,3,"خرداد","1390/03/24",13900324,"1390/03","سه شنبه","هفته 13",13,"سه شنبه 24 خرداد 1390",1,"بهار",0,0,139003
20110615,2011-06-15 00:00:00.000,2011,6,15,615,3,"June","6/15/2011",201106,"6/1/2011","Wednesday","Week 25",25,13900325,1390,3,25,325,4,"خرداد","1390/03/25",13900325,"1390/03","چهارشنبه","هفته 13",13,"چهارشنبه 25 خرداد 1390",1,"بهار",0,0,139003
20110616,2011-06-16 00:00:00.000,2011,6,16,616,4,"June","6/16/2011",201106,"6/1/2011","Thursday","Week 25",25,13900326,1390,3,26,326,5,"خرداد","1390/03/26",13900326,"1390/03","پنج شنبه","هفته 13",13,"پنج شنبه 26 خرداد 1390",1,"بهار",0,0,139003
20110617,2011-06-17 00:00:00.000,2011,6,17,617,5,"June","6/17/2011",201106,"6/1/2011","Friday","Week 25",25,13900327,1390,3,27,327,6,"خرداد","1390/03/27",13900327,"1390/03","جمعه","هفته 13",13,"جمعه 27 خرداد 1390",1,"بهار",0,0,139003
20110618,2011-06-18 00:00:00.000,2011,6,18,618,6,"June","6/18/2011",201106,"6/1/2011","Saturday","Week 25",25,13900328,1390,3,28,328,0,"خرداد","1390/03/28",13900328,"1390/03","شنبه","هفته 14",14,"شنبه 28 خرداد 1390",1,"بهار",0,0,139003
20110619,2011-06-19 00:00:00.000,2011,6,19,619,0,"June","6/19/2011",201106,"6/1/2011","Sunday","Week 26",26,13900329,1390,3,29,329,1,"خرداد","1390/03/29",13900329,"1390/03","یکشنبه","هفته 14",14,"یکشنبه 29 خرداد 1390",1,"بهار",0,0,139003
